annee;pib
2022;2639092
2021;2502118
2020;2317832
2019;2437635
2018;2363306
2017;2297242
2016;2234129
2015;2198432
2014;2149765
2013;2117190
2012;2088804
2011;2058369
2010;1995289
2009;1936422
2008;1992380
2007;1941360
2006;1848151
2005;1765905
2004;1704019
2003;1630666
2002;1587829
2001;1538200
2000;1478585
1999;1400999
1998;1351896
1997;1292777
1996;1252266
1995;1218273
1994;1179867
1993;1142119
1992;1130983
1991;1091705
1990;1053546
1989;997121
1988;925215
1987;855983
1986;814596
1985;757689
1984;707030
1983;650512
1982;585989
1981;509985
1980;451770
1979;398210
1978;348615
1977;306807
1976;272612
1975;235876
1974;209368
1973;179495
1972;156487
1971;140192
1970;125698
1969;112366
1968;97683
1967;89545
1966;82826
1965;76422
1964;70755
1963;63794
1962;56906
1961;50775
1960;46834
1959;42263
1958;38729
1957;33545
1956;29714
1955;26958
1954;25082
1953;23616
1952;22771
1951;19542
1950;15513
1949;13225
